checking for RDTSCP instruction...Success.  Using RDTSCP for time
RDTSCP Timing Probe: 2434838992 ticks per second
=== WatchVrf - member-level position telemetry (UNIT_MOVEMENT_RESEARCH plan R3) ===
    federation=CWIX-2024 appNumber=3446 duration=300s sample=10s

[..] bridge.Start() - joining the federation...
Using MAK Technologies' RTI version 4.6.1 HLA 1516-2010 for Microsoft Visual C++ version 14.0 Release Mode.
Connected to RTI Assistant.
Loading Config File: C:\MAK\makRti4.6.1\rid.mtl
INFO[Util] 18:45:11.905 T:70128 MAK::DtInitializer::loadConfigScript: Loading config file: vrfLegion.lua
[OK] joined; discovering + sampling (CSV lines: POS,t,uuid,lat,lon,alt)...
POS,33.2,VRF_UUID:815afb56-ac06-0048-bdb5-f24bc6444ef6,34.652326,-116.693115,1116.6
POS,33.2,VRF_UUID:85c614e1-e57f-1444-a96f-aacca422922c,34.654997,-116.693388,1116.8
POS,33.2,VRF_UUID:8871636a-cdc8-334d-adc6-3ebc1bca793f,34.647697,-116.693360,1116.6
POS,33.2,VRF_UUID:8f380016-25a2-f342-9dde-7ea81bbd1f51,34.653929,-116.693388,1116.8
POS,33.2,VRF_UUID:8fd3983b-d227-704c-a500-a538705d480a,34.653221,-116.693115,1116.6
POS,33.2,VRF_UUID:a21d2a02-8922-d14f-a854-8ab52bee36bc,34.654994,-116.693231,1116.7
POS,33.2,VRF_UUID:a490d99b-f232-9e4c-86be-95d4dcfd2b59,34.647697,-116.693360,1116.6
POS,33.2,VRF_UUID:a92a0bcf-1487-c745-97d7-0df42107dc63,34.647652,-116.693415,1116.7
POS,33.2,VRF_UUID:ab92128a-b77c-9a49-b58f-ed3eab167165,90.000000,-90.000000,0.0
POS,33.2,VRF_UUID:abbb26d4-e23b-ed47-80e3-bf210462d2ba,34.647606,-116.693360,1116.6
POS,33.2,VRF_UUID:ac1cffba-98d1-f544-b1bf-087248c53070,34.656422,-116.692570,1116.3
POS,33.2,VRF_UUID:ad297b4b-a070-8248-8dac-d4593246d128,NaN,-90.000000,NaN
POS,33.2,VRF_UUID:b2c35fd2-4e8b-864e-acd0-bce1b550a47c,34.656853,-116.693388,1116.9
POS,33.2,VRF_UUID:b550d348-7791-124a-9358-398997028cf8,34.647561,-116.693415,1116.7
POS,33.2,VRF_UUID:b9de7e71-0153-2047-b8e5-c19564086b26,34.654994,-116.693338,1116.8
POS,33.2,VRF_UUID:bf971447-b7ed-5942-83e0-30d761977c69,34.650698,-116.693115,1116.5
POS,33.2,VRF_UUID:cb150b0b-e14f-524c-ad29-cf75665a93d4,34.608419,-116.700062,1121.1
